article,available_sizes,beautyDiscount,brandName,brand_route,brand_title,colection,discount,discountId,hasVariantPrice,id,image,image_count,images,item,line,mannequins,maxPrice,maxPriceOld,minPrice,minPriceOld,model,monoBrand,newIn,outfit,price,priceInStore,priceOld,route,season,sizeTable_name,sizeTable_show,sizeTable_title,title,variant_count,warehouse
VIGBGL-483,L,,Aquanova,/az/brands/aquanova,Aquanova,unisex,30,,False,188797,188797-9d043276b05c09bbb1054f5de019d36f.jpg,1,188797-9d043276b05c09bbb1054f5de019d36f.jpg,bathrobe,Bathing,,72.1,103,72.1,103,VIGGO,False,True,188797-9d043276b05c09bbb1054f5de019d36f.jpg,72.1,False,103,/az/products/aquanova-viggo-hamam-xalati-188797,2021,xl,False,XL,Viggo hamam xalatı,1,Premium
IDOLO,23,,Marina Rinaldi,/az/brands/marinarinaldi,Marina Rinaldi,wom,20,,False,190373,190373-7488c60526a95ee833eefc08ed030bd5.jpg,4,"190373-7488c60526a95ee833eefc08ed030bd5.jpg, 190373-7674801b2033e0144df06ae4f13f2946.jpg, 190373-8092495dd6c30c76987399bdf5091c96.jpg, 190373-0f3b9cb24ee1c384036f36d360801164.jpg",jeans,MARINA RINALD 1,,200,250,200,250,2183012,False,True,190373-7674801b2033e0144df06ae4f13f2946.jpg,200,False,250,/az/products/marina-rinaldi-bol-bicimli-denim-salvar-190373,2022-23,denim,True,DENIM,Bol biçimli denim şalvar,1,Premium
4221631,54,,Marina Rinaldi,/az/brands/marinarinaldi,Marina Rinaldi,,50,,False,170367,170367-2943f3de298de763a9c01b6c4e3cc2a2.jpg,4,"170367-2943f3de298de763a9c01b6c4e3cc2a2.jpg, 170367-faaa7c1d7b62a06bdc275d79c1fd6ef9.jpg, 170367-696540f9e570c8c18e5c30c9548aaa44.jpg, 170367-ee9f642e445978f669a6b7560190ce75.jpg",dress,FLASH ELEG,,323,646,323,646,DIZIONE,False,True,170367-faaa7c1d7b62a06bdc275d79c1fd6ef9.jpg,323,False,646,/az/products/marina-rinaldi-pliseli-midi-don-170367,2021,it,False,IT,Pliseli midi don,1,Premium
MIDI,42 / 44,,Victoria Beckham,/az/brands/victoriabeckham,Victoria Beckham,woman,50,,False,177889,177889-8fd34d65143b40cba7315d4680268ac3.jpg,4,"177889-8fd34d65143b40cba7315d4680268ac3.jpg, 177889-bee0abfa58a8ac5cb5174372a67ba194.jpg, 177889-30977c7d45bf145d50539b65e36bf8fa.jpg, 177889-f08f3d6fa5bb3a12aa6f419a5642b094.jpg",dress,Main,,536.5,1073,536.5,1073,DR MID 68100,False,True,177889-bee0abfa58a8ac5cb5174372a67ba194.jpg,536.5,False,1073,/az/products/gupurlu-midi-don-177889,2019,eu,False,EU,Güpürlü midi don,1,Premium
,"40, 38",,ERES,/az/brands/eres,ERES,woman,80,,False,1096145,1096145-521f32355b885531ab6cf80878594f2c.jpg,3,"1096145-521f32355b885531ab6cf80878594f2c.jpg, 1096145-f2b6b475c72862118039c61a10b5e3c0.jpg, 1096145-08ba20af68f6eca590c07b4df12243e4.jpg",top,04.17 FW,,49,245,49,245,651310,False,True,1096145-f2b6b475c72862118039c61a10b5e3c0.jpg,49,False,245,/az/products/eres-gupurlu-top-1096145,2013-14,eu,False,EU,Güpurlu top,2,Premium
Mariette,44,,Jenny Packham,/az/brands/jennypackham,Jenny Packham,wom,20,,False,190366,190366-e05488873073106099875dd2fff31f09.jpg,3,"190366-e05488873073106099875dd2fff31f09.jpg, 190366-6d8adfdc42e351c13fad6aa188409581.jpg, 190366-e8cd2a673571d74232f97249a5412761.jpg",dress,RTW,,1420,1775,1420,1775,DDD104C,False,True,190366-6d8adfdc42e351c13fad6aa188409581.jpg,1420,False,1775,/az/products/jenny-packham-tul-panelli-midi-don-190366,2022-23,it,False,IT,Tül panelli midi don,1,Premium
1,"S, M",,Joseph,/az/brands/joseph,Joseph,wom,20,,False,190185,190185-096e9be007db5c5978e2545ba2c76809.jpg,5,"190185-096e9be007db5c5978e2545ba2c76809.jpg, 190185-516bcfe008a5d746a8991b64df206bf4.jpg, 190185-1fccde9a7fb458fb8b82b3c669b14f4a.jpg, 190185-24ce415542aabb7d4698bd2da8e90320.jpg, 190185-e57bfdfa2c76a4b09ca056536afdd1c8.jpg",top,RTW,,272,340,272,340,JF006919,False,True,190185-516bcfe008a5d746a8991b64df206bf4.jpg,272,False,340,/az/products/joseph-yun-kesmir-sviter-190185,2023-24,xl,False,XL,Yun kəşmir sviter,2,Premium
2712,XS,,Ralph Lauren,/az/brands/ralphlauren,Ralph Lauren,wom,20,,False,190318,190318-b82df5dbbdb1f494de8f2027d4af5b09.jpg,4,"190318-b82df5dbbdb1f494de8f2027d4af5b09.jpg, 190318-c70a4571867dfac2addb73100dcb3a41.jpg, 190318-e9eb255c5c77aa3c5560bc72f0ee28a3.jpg, 190318-1bdb7f9d9e1c39dd028a456fbb3b8963.jpg",sweater,POLO,,120,150,120,150,21187,False,True,190318-c70a4571867dfac2addb73100dcb3a41.jpg,120,False,150,/az/products/ralph-lauren-zencirbendli-sviter-190318,2022-23,xl,False,XL,Zəncirbəndli sviter,1,Premium
RM405,46,,Armani Collezioni,/az/brands/armanicollezioni,Armani Collezioni,woman,80,,False,181728,181728-c0b15304569475809a61a6a1c8d1a459.jpg,4,"181728-c0b15304569475809a61a6a1c8d1a459.jpg, 181728-95eb35ea90ea1fb9d8c63d5e6d7a9999.jpg, 181728-aca85fd63d340a6b79692cf0c1ef4505.jpg, 181728-b81389b406f57863c8c18bda9f1f5428.jpg",jacket,,,90,450,90,450,RMG04T,False,True,181728-95eb35ea90ea1fb9d8c63d5e6d7a9999.jpg,90,False,450,/az/products/armani-collezioni-gul-naxisli-pencek-181728,2015,eu,False,EU,Gül naxışlı pencək,1,Premium
ROZLYN,2XL,,Alice+Olivia,/az/brands/aliceolivia,Alice + Olivia,woman,80,,False,133513,133513-95ef4448753adc7f0676e3bb1c6c5253.jpg,4,"133513-95ef4448753adc7f0676e3bb1c6c5253.jpg, 133513-0c837c7ab0a48261aded5e1ab573fbf7.jpg, 133513-cce1cdfdd881908f755c41b14168684e.jpg, 133513-bbc3b29d320b20f48afa9e6125f28395.jpg",dress,,,112.80000000000001,564,112.80000000000001,564,CC803016509,False,True,133513-0c837c7ab0a48261aded5e1ab573fbf7.jpg,112.80000000000001,False,564,/az/products/alice+olivia-pliseli-maksi-don-133513,2018,xl,False,XL,Pliseli maksi don,1,Premium
WV0028,"36, 38, 40",,Ami Paris,/az/brands/ami-paris,Ami Paris,wom,20,,False,191390,191390-6574bb56d326dfbff8d9242577e4962d.jpg,5,"191390-6574bb56d326dfbff8d9242577e4962d.jpg, 191390-54fbe5632e7906f1c94953a1d52874f5.jpg, 191390-d28bce2d542925a02566cf0b44ab1ba6.jpg, 191390-6694318a0c81498a43f6cd796e033b38.jpg, 191390-6b855aaa5a266f63750d23826350f031.jpg",pants,RTW,,387.2,484,387.2,484,FTR004,False,True,191390-54fbe5632e7906f1c94953a1d52874f5.jpg,387.2,False,484,/az/products/ami-paris-cigarette-salvar-191390,2023-24,it,False,IT,Cıgarette şalvar,3,Premium
1,42,,Elie Saab,/az/brands/eliesaab,Elie Saab,wom,20,,False,190022,190022-f6cd50aab97185f20a18e26add429d00.jpg,4,"190022-f6cd50aab97185f20a18e26add429d00.jpg, 190022-4bc74f4dca9b38fd263859d5c1797bd7.jpg, 190022-cece3cfaf79fad23eb62808177ab94cf.jpg, 190022-d98d7893bc4b234db29e6e463d7dc66c.jpg",dress,RTW,,1404,1755,1404,1755,15557,False,True,190022-4bc74f4dca9b38fd263859d5c1797bd7.jpg,1404,False,1755,/az/products/gullu-gupurlu-velvet-don-190022,2023-24,FR,False,FR,Güllü güpurlu velvet don,1,Premium
ROSSANA,"50, 52, 54",,Marina Rinaldi,/az/brands/marinarinaldi,Marina Rinaldi,wom,20,,False,190396,190396-b6819e68b6406bf52b556ce9392d77d0.jpg,4,"190396-b6819e68b6406bf52b556ce9392d77d0.jpg, 190396-fbaf91e3d24bc2247c53765b51610b55.jpg, 190396-018c615f6c64201918d0eb8f5ba2ec35.jpg, 190396-4454e5347d0a01b1d2e8569960ad7212.jpg",pants,MARINA RINALD 1,,184,230,184,230,2133043,False,True,190396-fbaf91e3d24bc2247c53765b51610b55.jpg,184,False,230,/az/products/marina-rinaldi-rossana-salvar-190396,2023-24,it,False,IT,Rossana şalvar,3,Premium
